Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2018,1,1,00:00,UTC,8,1000.8,0,77,0,0,0.9,-2.7,33960,152,6,3.3
2018,1,1,01:00,UTC,8,999.5,0,84,0,0,0.9,-1.6,17570,147,6.8,3.9
2018,1,1,02:00,UTC,8,999.3,0.4,91,2.4,0,0.5,-0.7,1410,154,7.9,3.7
2018,1,1,03:00,UTC,8,998.3,1,95,0.6,0,0.4,-0.3,1800,155,7.3,3.9
2018,1,1,04:00,UTC,8,997.6,1.1,97,1.1,2,0.3,-0.1,1420,159,6.6,3.5
2018,1,1,05:00,UTC,8,996.7,0.7,96,0.3,0,0.5,0,3250,155,5.9,2.9
2018,1,1,06:00,UTC,7,996.3,0.1,92,0,3,1.2,0,15340,175,8.6,5
2018,1,1,07:00,UTC,7,996,0,92,0,2,1.3,0.2,10880,182,6.8,4.4
2018,1,1,08:00,UTC,7,995.7,0,93,0,2,1.5,0.5,18410,175,7.4,4.6
2018,1,1,09:00,UTC,7,995.8,0,91,0,2,1.8,0.5,19530,177,6.2,3.8
2018,1,1,10:00,UTC,7,995.1,0,91,0,2,1.9,0.6,15440,167,6.3,4
2018,1,1,11:00,UTC,7,994.7,0,90,0,2,2,0.6,36510,164,5.2,3.4
2018,1,1,12:00,UTC,7,994.2,0,90,0,0,2,0.5,48260,156,5.5,3.3
2018,1,1,13:00,UTC,7,993.2,0,91,0,0,2.1,0.8,37870,144,5.1,2.3
2018,1,1,14:00,UTC,7,992.9,0,90,0,0,2.2,0.7,25240,141,5,2.8
2018,1,1,15:00,UTC,7,992.1,0.1,95,0.3,0,2,1.3,3300,142,6.3,3.3
2018,1,1,16:00,UTC,7,991.1,0.1,97,0,0,2,1.5,4270,147,6.8,3.6
2018,1,1,17:00,UTC,7,990.8,0.9,96,1.4,0,1.6,1.1,7220,146,6.5,3.2
2018,1,1,18:00,UTC,7,990.1,2.1,97,2.4,0,1.3,0.9,2980,143,5.8,2.9
2018,1,1,19:00,UTC,7,989.6,0.5,98,0.3,0,2.4,2.1,5420,153,4.5,2.1
2018,1,1,20:00,UTC,7,989.9,0.1,98,0,0,3.1,2.8,4290,219,5.7,2.2
2018,1,1,21:00,UTC,7,990.1,0,98,0,0,3.7,3.4,7060,232,4.6,2.2
2018,1,1,22:00,UTC,7,990.2,0.1,93,0,0,5.1,4.1,10970,228,8.4,3.7
2018,1,1,23:00,UTC,7,990.5,0,90,0,0,5.2,3.7,15960,219,10.4,4.5
2018,1,2,00:00,UTC,7,990.4,0,90,0,0,4.8,3.3,18310,214,8.6,4
2018,1,2,01:00,UTC,7,990.7,0,91,0,0,4.7,3.3,30620,211,9.2,4.3
2018,1,2,02:00,UTC,7,990.3,0,90,0,0,4.5,3.1,34250,207,11.7,4.7
2018,1,2,03:00,UTC,7,990,0,90,0,0,4.7,3.2,30080,206,8.8,4.6
2018,1,2,04:00,UTC,7,990.1,0.3,89,0,0,4.1,2.4,48420,226,11.7,4.1
2018,1,2,05:00,UTC,7,990.4,0.1,92,0,0,4,2.9,17210,227,7.1,2.8
2018,1,2,06:00,UTC,7,990.8,0.2,95,0,0,4,3.3,22250,249,7.8,3.6
2018,1,2,07:00,UTC,7,991.8,0,92,0,0,4.3,3.1,50000,266,7.4,4
2018,1,2,08:00,UTC,7,993.3,0,93,0,0,4.2,3.2,32410,256,9.9,5
2018,1,2,09:00,UTC,7,995.3,0,89,0,0,3.3,1.8,50000,268,11,5.8
2018,1,2,10:00,UTC,7,996.7,0,86,0,0,3.5,1.4,50000,274,9.7,5.8
2018,1,2,11:00,UTC,7,997.8,0,85,0,0,3.6,1.4,50000,274,8.7,5.1
2018,1,2,12:00,UTC,7,999.1,0,86,0,0,3.8,1.7,50000,258,8.4,4.1
2018,1,2,13:00,UTC,7,999.7,0,89,0,0,3.9,2.3,21770,248,6.1,3.2
2018,1,2,14:00,UTC,8,1000.1,0,91,0,0,4.5,3.2,30250,243,7.6,2.8
2018,1,2,15:00,UTC,7,1000.6,0,88,0,0,4.6,2.9,41220,234,7.8,3.3
2018,1,2,16:00,UTC,7,1001.1,0,88,0,0,4.6,2.8,39830,216,10.3,4.3
2018,1,2,17:00,UTC,7,1001.4,0,90,0,0,4.6,3.1,33980,220,9.9,4.2
