Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2018,1,1,00:00,UTC,8,1001.9,0,92,0,41,-2.3,-3.4,50000,147,6.1,3.4
2018,1,1,01:00,UTC,3,1001.2,0,94,0,41,-3.3,-4.1,40256,142,7.4,3.7
2018,1,1,02:00,UTC,5,1000.7,0,97,0,41,-4.3,-4.7,34808,137,5.6,3.6
2018,1,1,03:00,UTC,8,1000.3,0,95,0,41,-3.4,-4.2,42624,140,5.4,2.8
2018,1,1,04:00,UTC,8,999.9,0,95,0,41,-2.9,-3.6,21113,128,4.4,2.6
2018,1,1,05:00,UTC,8,999.3,0,95,0,41,-2.3,-3,26589,129,6.3,3.5
2018,1,1,06:00,UTC,8,998.8,0,92,0,41,-1.8,-2.8,33935,139,6.4,3.4
2018,1,1,07:00,UTC,8,998.7,0,92,0,41,-1.7,-2.8,38389,140,8,3.6
2018,1,1,08:00,UTC,8,998.5,0,91,0,41,-1.5,-2.9,43941,138,6.2,3.7
2018,1,1,09:00,UTC,8,998.4,0,89,0,41,-1.4,-3,50000,138,6.6,3.8
2018,1,1,10:00,UTC,8,998.1,0,88,0,41,-1.4,-3.1,50000,134,6.6,3.4
2018,1,1,11:00,UTC,8,998,0,89,0,41,-1.5,-3.1,50000,132,6.1,3.3
2018,1,1,12:00,UTC,8,997.5,0,90,0,41,-1.5,-2.9,50000,123,6.1,2.8
2018,1,1,13:00,UTC,8,996.9,0,89,0,40,-1.6,-3.1,50000,118,5.9,2.8
2018,1,1,14:00,UTC,6,996.4,0,88,0,40,-1.8,-3.5,50000,119,6.4,2.8
2018,1,1,15:00,UTC,8,996.1,0,88,0,41,-1.8,-3.5,50000,120,5.7,2.9
2018,1,1,16:00,UTC,8,995.7,0,89,0,41,-1.9,-3.5,50000,125,5.4,2.7
2018,1,1,17:00,UTC,7,995.2,0,90,0,41,-2,-3.3,50000,119,5.3,2.5
2018,1,1,18:00,UTC,8,995,0,93,0,41,-1.8,-2.8,50000,130,4.4,2.2
2018,1,1,19:00,UTC,7,994.7,0,93,0,41,-1.5,-2.5,32006,124,4.6,2.2
2018,1,1,20:00,UTC,8,994.5,0,94,0,41,-1.5,-2.4,49718,119,4.1,1.6
2018,1,1,21:00,UTC,8,994.4,0,94,0,41,-1.5,-2.3,46425,109,3.6,1.8
2018,1,1,22:00,UTC,7,994.1,0,95,0,41,-1.4,-2.1,48132,104,3.4,1.7
2018,1,1,23:00,UTC,7,993.5,0,96,0,41,-1.2,-1.8,45302,103,3.6,1.9
2018,1,2,00:00,UTC,8,993.1,0,95,0,41,-1.1,-1.7,48437,104,5,1.9
2018,1,2,01:00,UTC,8,992.7,0,96,0,41,-1,-1.6,19639,84,3.5,1.9
2018,1,2,02:00,UTC,8,992.3,0,97,0,41,-0.9,-1.4,41209,72,3.6,1.6
2018,1,2,03:00,UTC,8,991.8,0,96,0,41,-0.9,-1.5,37320,83,3.4,1.6
2018,1,2,04:00,UTC,8,991.6,0,96,0,41,-1,-1.6,40748,60,3.4,1.4
2018,1,2,05:00,UTC,8,991.2,0,95,0,41,-1,-1.7,48087,61,2.5,1.4
2018,1,2,06:00,UTC,8,991.2,0.2,99,0,41,-1.5,-1.6,6190,58,3,1.6
2018,1,2,07:00,UTC,8,991.2,0.2,100,0.3,41,-1.9,-1.9,6091,39,2.7,1.5
2018,1,2,08:00,UTC,7,991.5,0.1,100,0,40,-2.4,-2.4,13755,31,2.3,1.3
2018,1,2,09:00,UTC,8,991.6,0,100,0,40,-2.1,-2.1,39809,50,2.6,1.5
2018,1,2,10:00,UTC,8,991.9,0,98,0,40,-2,-2.3,50000,40,1.9,1.1
2018,1,2,11:00,UTC,8,992.1,0,97,0,40,-2,-2.3,50000,359,2,1.1
2018,1,2,12:00,UTC,8,992.7,0,97,0,40,-2,-2.3,36825,322,1.5,0.6
2018,1,2,13:00,UTC,7,993.3,0,99,0,40,-2.2,-2.4,36057,301,1.6,1.1
2018,1,2,14:00,UTC,8,993.8,0,99,0,40,-2.3,-2.4,38130,269,1.5,1.1
2018,1,2,15:00,UTC,7,994.4,0,100,0,40,-2.5,-2.5,33382,264,1.2,0.7
2018,1,2,16:00,UTC,7,995.1,0,100,0,40,-2.4,-2.4,36814,210,1.8,1.1
2018,1,2,17:00,UTC,8,995.9,0,100,0,40,-2.2,-2.2,38402,203,1.5,0.7
