Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2020,1,1,00:00,UTC,0,1006.9,0,91,0,20,-3.3,-4.5,50000,271,5.7,2.9
2020,1,1,01:00,UTC,0,1006.7,0,95,0,20,-3.5,-4.3,50000,257,4.9,3
2020,1,1,02:00,UTC,5,1006.3,0,96,0,20,-3.4,-4,50000,268,3.8,2.4
2020,1,1,03:00,UTC,5,1006,0,95,0,20,-2.7,-3.4,50000,252,4.3,2.3
2020,1,1,04:00,UTC,8,1005.4,0,94,0,20,-1.5,-2.2,50000,269,5.5,3
2020,1,1,05:00,UTC,8,1005,0,94,0,20,-1,-1.9,50000,253,5,3
2020,1,1,06:00,UTC,8,1004.7,0,94,0,20,-0.8,-1.6,47500,258,5.5,3
2020,1,1,07:00,UTC,8,1004.6,0,95,0,20,-0.8,-1.5,46490,252,4.1,1.9
2020,1,1,08:00,UTC,8,1004.4,0,97,0,20,-0.6,-1.1,44510,224,3,1.6
2020,1,1,09:00,UTC,8,1003.9,0.1,98,0,20,-0.6,-0.9,4010,189,3.8,1.6
2020,1,1,10:00,UTC,8,1002.8,0.2,99,0.6,20,-0.4,-0.5,2940,195,3.3,1.4
2020,1,1,11:00,UTC,8,1001.8,0.1,99,0,20,0,-0.1,6360,167,2.2,1.3
2020,1,1,12:00,UTC,8,1001.1,0.1,98,0,20,1,0.7,19840,224,3.3,1.5
2020,1,1,13:00,UTC,8,1000.4,0,97,0,20,1.7,1.2,22680,254,4.5,1.6
2020,1,1,14:00,UTC,8,1000,0,96,0,20,2.2,1.6,50000,248,3.9,1.8
2020,1,1,15:00,UTC,8,1000.3,0,94,0,20,2.4,1.6,50000,251,5.3,2.3
2020,1,1,16:00,UTC,5,1000.1,0,94,0,20,2.3,1.5,50000,263,5.9,2.9
2020,1,1,17:00,UTC,1,999.5,0,92,0,20,2.8,1.5,50000,268,8,3.9
2020,1,1,18:00,UTC,1,999,0,88,0,20,2.8,1.1,50000,253,5.4,2.1
2020,1,1,19:00,UTC,0,998.9,0,89,0,20,2.5,0.8,50000,264,6.2,2.1
2020,1,1,20:00,UTC,7,998,0,87,0,20,2.4,0.6,50000,263,5.3,2.9
2020,1,1,21:00,UTC,7,997.7,0,84,0,20,3,0.5,50000,273,7,3.8
2020,1,1,22:00,UTC,7,997,0,74,0,21,5.3,1,50000,286,12.7,7.3
2020,1,1,23:00,UTC,7,996.7,0.2,79,0,21,5.2,1.8,50000,273,10.4,5.6
2020,1,2,00:00,UTC,1,996.5,0,77,0,20,4.9,1.2,50000,281,12.9,6.7
2020,1,2,01:00,UTC,0,996.7,0,77,0,20,4.5,0.9,50000,280,11.2,6
2020,1,2,02:00,UTC,0,997.1,0,80,0,20,3.9,0.7,50000,279,8.7,4.5
2020,1,2,03:00,UTC,1,997.3,0,78,0,20,4.3,0.7,50000,290,8.2,5.7
2020,1,2,04:00,UTC,0,997.9,0,74,0,20,5,0.6,50000,290,10.8,6.2
2020,1,2,05:00,UTC,0,998.2,0,72,0,20,5.1,0.5,50000,291,9.7,6
2020,1,2,06:00,UTC,0,998,0,76,0,20,4.3,0.5,50000,283,7.4,4.2
2020,1,2,07:00,UTC,1,998.1,0,78,0,20,4,0.6,50000,269,5.1,3.1
