Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2021,1,1,00:00,UTC,7,1010.3,0,0,0,1.5
2021,1,1,01:00,UTC,8,1010.7,0,0,0.4,1.8
2021,1,1,02:00,UTC,8,1010.8,0,0,1,1.3
2021,1,1,03:00,UTC,8,1011,0,0,0.8,2.5
2021,1,1,04:00,UTC,8,1011.1,0,0,1.5,2.5
2021,1,1,05:00,UTC,8,1011,0,0,2.5,1.8
2021,1,1,06:00,UTC,8,1011.4,0,0,2.8,2.9
2021,1,1,07:00,UTC,8,1011.6,0,0,2.8,3.5
2021,1,1,08:00,UTC,7,1012.1,0,0,2.6,3
2021,1,1,09:00,UTC,8,1012.3,0,0,3.1,2.9
2021,1,1,10:00,UTC,7,1012.6,0,0,3.2,2.7
2021,1,1,11:00,UTC,8,1012.8,0,0,3.1,4.1
2021,1,1,12:00,UTC,8,1012.8,0,0,2.9,2.5
2021,1,1,13:00,UTC,7,1013,0,0,2.6,1.6
2021,1,1,14:00,UTC,7,1012.9,0,0,2.2,4.1
2021,1,1,15:00,UTC,8,1013.1,0,0,2.1,3.8
2021,1,1,16:00,UTC,7,1012.8,0,0,1.8,3
2021,1,1,17:00,UTC,7,1013,0,0,1.1,1.1
2021,1,1,18:00,UTC,1,1013.1,0,0,0.8,2.4
2021,1,1,19:00,UTC,8,1013,0,0,1.2,2.3
2021,1,1,20:00,UTC,7,1013.1,0,0,1.3,1.8
2021,1,1,21:00,UTC,7,1012.9,0,0,1.2,2.8
2021,1,1,22:00,UTC,7,1013,0,0,0.8,2.7
2021,1,1,23:00,UTC,8,1012.9,0,0,0.6,2.7
2021,1,2,00:00,UTC,7,1012.8,0,0,0.6,4.3
2021,1,2,01:00,UTC,8,1012.8,0,0,0.6,4.5
2021,1,2,02:00,UTC,8,1012.8,0,0,0.8,3.1
2021,1,2,03:00,UTC,7,1012.6,0,0,0.5,3.3
2021,1,2,04:00,UTC,7,1012.5,0,0,0.6,3.9
2021,1,2,05:00,UTC,7,1012.4,0,0,0.7,4.8
2021,1,2,06:00,UTC,7,1012.3,0,0,0.5,3.5
2021,1,2,07:00,UTC,8,1012.5,0,0,0.5,3.5
2021,1,2,08:00,UTC,8,1012.9,0,0,0.4,4.1
2021,1,2,09:00,UTC,7,1013.1,0,0,0.3,3.6
2021,1,2,10:00,UTC,7,1013.1,0,0,0.3,3.6
2021,1,2,11:00,UTC,7,1013.1,0,0,-0.1,3.9
2021,1,2,12:00,UTC,8,1013.3,0.1,0,-0.5,4.6
2021,1,2,13:00,UTC,9,1013.5,0.2,0,-0.8,3.5
2021,1,2,14:00,UTC,9,1013.9,0.7,0,-1.1,3.4
2021,1,2,15:00,UTC,7,1014.2,0.7,0,-1.2,3.9
2021,1,2,16:00,UTC,8,1014.4,0.6,2,-1.4,4.3
2021,1,2,17:00,UTC,9,1014.6,0.6,2,-1.5,3.5
2021,1,2,18:00,UTC,8,1014.8,0.5,2,-1.5,4.3
2021,1,2,19:00,UTC,7,1015.2,0.5,4,-1.6,4.1
2021,1,2,20:00,UTC,9,1015.4,0.3,4,-1.6,4.7
2021,1,2,21:00,UTC,9,1015.9,0.3,5,-1.8,5.2
2021,1,2,22:00,UTC,8,1016.2,0.3,5,-1.9,5
2021,1,2,23:00,UTC,8,1016.5,0.2,5,-2.2,4.3
2021,1,3,00:00,UTC,7,1017,0.1,4,-2.3,4
2021,1,3,01:00,UTC,8,1017.4,0.1,6,-2.5,3.6
2021,1,3,02:00,UTC,7,1017.7,0.3,7,-2.6,5.1
2021,1,3,03:00,UTC,7,1018,0.2,7,-2.8,4.5
2021,1,3,04:00,UTC,7,1018.3,0.1,7,-2.9,4.1
2021,1,3,05:00,UTC,7,1018.7,0.1,7,-2.9,4.2
2021,1,3,06:00,UTC,9,1019.1,0.2,7,-3,4.7
2021,1,3,07:00,UTC,7,1019.7,0.3,8,-3,4.5
2021,1,3,08:00,UTC,7,1020.4,0.1,10,-3,3.5
2021,1,3,09:00,UTC,7,1021,0.1,9,-2.9,3.6
2021,1,3,10:00,UTC,7,1021.5,0.4,9,-2.8,3.1
2021,1,3,11:00,UTC,7,1021.8,0.1,9,-2.7,3.4
2021,1,3,12:00,UTC,7,1022.2,0,8,-2.7,3.5
2021,1,3,13:00,UTC,7,1022.6,0,8,-2.8,3.3
2021,1,3,14:00,UTC,7,1023,0,8,-2.9,2.2
2021,1,3,15:00,UTC,7,1023.1,0,8,-3,3.2
2021,1,3,16:00,UTC,7,1023.4,0,9,-3.1,3.3
2021,1,3,17:00,UTC,5,1023.9,0,8,-3.6,2.8
2021,1,3,18:00,UTC,7,1024.4,0,8,-3.2,2.2
2021,1,3,19:00,UTC,7,1024.6,0,8,-3,2.7
2021,1,3,20:00,UTC,7,1025,0,8,-2.8,2.5
2021,1,3,21:00,UTC,7,1025.5,0,8,-2.7,2.6
2021,1,3,22:00,UTC,7,1025.8,0,8,-2.6,2.4
2021,1,3,23:00,UTC,7,1026,0,8,-2.4,3.4
2021,1,4,00:00,UTC,7,1026.1,0,8,-2.2,2.5
2021,1,4,01:00,UTC,7,1026.4,0,8,-2,3.1
2021,1,4,02:00,UTC,7,1026.6,0,8,-1.9,3
2021,1,4,03:00,UTC,7,1027.1,0,7,-1.7,3.4
2021,1,4,04:00,UTC,7,1027.2,0,7,-1.6,3.3
2021,1,4,05:00,UTC,7,1027.4,0,7,-1.5,3.5
2021,1,4,06:00,UTC,7,1027.6,0,7,-1.5,3.6
2021,1,4,07:00,UTC,8,1028.1,0,7,-1.4,2.6
2021,1,4,08:00,UTC,8,1028.5,0,7,-1.3,4
2021,1,4,09:00,UTC,7,1028.9,0,7,-1.3,4.2
2021,1,4,10:00,UTC,7,1029.2,0,7,-1.2,4.3
2021,1,4,11:00,UTC,7,1029.2,0,6,-1.1,3.8
2021,1,4,12:00,UTC,7,1029.3,0,6,-1.1,3.1
2021,1,4,13:00,UTC,8,1029.6,0,6,-1.2,2.9
2021,1,4,14:00,UTC,7,1029.7,0,6,-1.2,3.6
2021,1,4,15:00,UTC,7,1029.7,0,6,-1.4,3.5
2021,1,4,16:00,UTC,7,1029.9,0,6,-1.5,3.7
2021,1,4,17:00,UTC,8,1030.2,0,6,-1.4,3.3
2021,1,4,18:00,UTC,8,1030.4,0,6,-1.3,4
2021,1,4,19:00,UTC,8,1030.7,0,6,-1.3,4
2021,1,4,20:00,UTC,8,1030.8,0,6,-1.2,3.4
2021,1,4,21:00,UTC,8,1030.8,0,6,-1.3,3.6
2021,1,4,22:00,UTC,8,1030.8,0,6,-1.5,4.2
2021,1,4,23:00,UTC,8,1031,0,5,-1.6,3.5
2021,1,5,00:00,UTC,8,1031,0,7,-1.7,3.6
2021,1,5,01:00,UTC,7,1031.1,0,5,-1.9,3.7
2021,1,5,02:00,UTC,7,1031.1,0,5,-2,3.5
2021,1,5,03:00,UTC,8,1031.1,0,5,-2.1,4.1
2021,1,5,04:00,UTC,8,1031,0,5,-2.3,3.9
2021,1,5,05:00,UTC,8,1031,0,5,-2.5,3.4
2021,1,5,06:00,UTC,8,1030.9,0,5,-2.7,3.6
2021,1,5,07:00,UTC,8,1031.2,0,5,-2.9,4
2021,1,5,08:00,UTC,7,1031.4,0,5,-3,2.7
2021,1,5,09:00,UTC,8,1031.4,0,5,-3.1,3.5
2021,1,5,10:00,UTC,7,1031.4,0,5,-3.3,4.7
2021,1,5,11:00,UTC,8,1031.2,0,5,-3.2,2.8
2021,1,5,12:00,UTC,8,1030.9,0,5,-3.3,3.9
2021,1,5,13:00,UTC,8,1030.7,0,4,-3.3,3.6
2021,1,5,14:00,UTC,7,1030.7,0,4,-3.3,3.4
2021,1,5,15:00,UTC,8,1030.4,0,4,-3.4,3.2
2021,1,5,16:00,UTC,7,1030.3,0,4,-3.6,3.8
2021,1,5,17:00,UTC,8,1030,0,4,-3.6,2.5
2021,1,5,18:00,UTC,7,1030.1,0,4,-3.7,1.7
2021,1,5,19:00,UTC,8,1030,0,4,-3.8,3
2021,1,5,20:00,UTC,8,1029.9,0,4,-3.9,2.5
2021,1,5,21:00,UTC,8,1029.9,0,4,-4,2.8
2021,1,5,22:00,UTC,8,1029.8,0,4,-4,2.2
2021,1,5,23:00,UTC,8,1029.5,0,4,-3.9,2.4
2021,1,6,00:00,UTC,8,1029.3,0,4,-3.8,1.9
2021,1,6,01:00,UTC,8,1028.6,0,4,-3.8,4.6
2021,1,6,02:00,UTC,8,1028.2,0,4,-3.7,4.2
2021,1,6,03:00,UTC,8,1027.9,0,4,-3.7,3.5
2021,1,6,04:00,UTC,8,1027.7,0,4,-3.7,3.3
2021,1,6,05:00,UTC,8,1027.3,0,4,-3.6,3.6
2021,1,6,06:00,UTC,8,1027,0,4,-3.6,3.5
2021,1,6,07:00,UTC,8,1026.9,0,4,-3.6,2.9
2021,1,6,08:00,UTC,8,1026.9,0,4,-3.5,2.7
2021,1,6,09:00,UTC,8,1026.8,0,4,-3.4,3.2
2021,1,6,10:00,UTC,8,1026.4,0,4,-3.2,4.2
2021,1,6,11:00,UTC,8,1026,0,4,-3.1,4.3
2021,1,6,12:00,UTC,7,1025.5,0,4,-3,4.9
2021,1,6,13:00,UTC,8,1025.1,0,4,-2.8,4.3
