Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2021,1,1,00:00,UTC,8,1008.3,0.3,13,-0.5,0.7
2021,1,1,01:00,UTC,8,1008.5,0.2,12,-0.7,0
2021,1,1,02:00,UTC,9,1008.5,0.3,10,-0.5,1
2021,1,1,03:00,UTC,7,1008.7,0.3,12,-0.6,1.1
2021,1,1,04:00,UTC,7,1008.9,0.2,13,-0.7,0.9
2021,1,1,05:00,UTC,8,1009.1,0.1,14,-0.5,1
2021,1,1,06:00,UTC,8,1009.5,0,13,-0.5,0.9
2021,1,1,07:00,UTC,7,1009.9,0.1,13,-0.8,0.8
2021,1,1,08:00,UTC,7,1010.2,0.1,13,-0.6,1.2
2021,1,1,09:00,UTC,8,1010.8,0,13,-0.2,1.5
2021,1,1,10:00,UTC,8,1011.3,0,13,-0.1,1.9
2021,1,1,11:00,UTC,8,1011.9,0,13,-0.1,1.4
2021,1,1,12:00,UTC,8,1011.9,0,13,-0.3,1.9
2021,1,1,13:00,UTC,8,1012.4,0,13,-0.4,1.1
2021,1,1,14:00,UTC,8,1012.7,0,13,-0.6,0.9
2021,1,1,15:00,UTC,8,1012.8,0.1,13,-0.7,0.6
2021,1,1,16:00,UTC,8,1013,0.1,13,-0.8,1.2
2021,1,1,17:00,UTC,8,1013.2,0.1,13,-1.1,0
2021,1,1,18:00,UTC,8,1013.7,0,13,-0.9,1.2
2021,1,1,19:00,UTC,8,1013.8,0,13,-1.2,1.3
2021,1,1,20:00,UTC,8,1013.9,0,13,-1.1,1.1
2021,1,1,21:00,UTC,8,1014.1,0,13,-1.5,0.5
2021,1,1,22:00,UTC,8,1014.3,0,13,-1.4,0
2021,1,1,23:00,UTC,8,1014.4,0,12,-1.7,0.9
2021,1,2,00:00,UTC,8,1014.7,0,12,-1.7,2.1
2021,1,2,01:00,UTC,8,1014.8,0,12,-1.7,2.7
2021,1,2,02:00,UTC,8,1014.8,0,12,-2.3,4
2021,1,2,03:00,UTC,8,1014.9,0,12,-3,4
2021,1,2,04:00,UTC,8,1015,0,12,-2.8,2.8
2021,1,2,05:00,UTC,8,1014.9,0,12,-2.7,2.8
2021,1,2,06:00,UTC,8,1014.6,0,12,-2.7,3.3
2021,1,2,07:00,UTC,7,1015,0,12,-2.7,3.4
2021,1,2,08:00,UTC,7,1014.9,0,12,-2.8,3.8
2021,1,2,09:00,UTC,7,1015.2,0,12,-2.8,4
2021,1,2,10:00,UTC,7,1015.2,0,12,-2.6,4.3
2021,1,2,11:00,UTC,7,1014.9,0,12,-2.6,5.2
2021,1,2,12:00,UTC,7,1014.9,0,12,-2.6,5.1
2021,1,2,13:00,UTC,7,1015.2,0,12,-2.8,5.7
2021,1,2,14:00,UTC,7,1015.4,0,13,-2.8,5.3
2021,1,2,15:00,UTC,7,1015.6,0,13,-3,5.6
2021,1,2,16:00,UTC,7,1015.5,0,13,-3,6.8
2021,1,2,17:00,UTC,9,1015.7,0,13,-3,5.6
2021,1,2,18:00,UTC,7,1015.9,0,13,-3.1,5.7
2021,1,2,19:00,UTC,7,1016.3,0.2,13,-3.3,5.9
2021,1,2,20:00,UTC,7,1016.7,0,12,-3.5,5.3
2021,1,2,21:00,UTC,7,1017,0,12,-3.7,6.2
2021,1,2,22:00,UTC,7,1017.4,0.1,12,-3.8,5.5
2021,1,2,23:00,UTC,7,1017.8,0,12,-3.9,5.2
2021,1,3,00:00,UTC,7,1018,0,12,-4.2,6
2021,1,3,01:00,UTC,7,1018.2,0,12,-4.4,6.1
2021,1,3,02:00,UTC,7,1018.6,0,12,-4.4,5.7
2021,1,3,03:00,UTC,7,1018.8,0,12,-4.7,6.3
2021,1,3,04:00,UTC,7,1019.2,0,12,-4.8,5.9
2021,1,3,05:00,UTC,7,1019.3,0,15,-4.9,6.6
2021,1,3,06:00,UTC,7,1019.9,0,15,-4.9,5.8
2021,1,3,07:00,UTC,7,1020.5,0.3,15,-4.9,5
2021,1,3,08:00,UTC,7,1021,0.2,15,-4.9,4.8
2021,1,3,09:00,UTC,9,1021.6,0.2,15,-4.7,5.1
2021,1,3,10:00,UTC,7,1022,0.1,15,-4.5,4.8
2021,1,3,11:00,UTC,7,1022.5,0.1,15,-4.4,4.7
2021,1,3,12:00,UTC,8,1022.9,0,15,-4.4,5.2
2021,1,3,13:00,UTC,8,1023.5,0.1,15,-4.4,4.7
2021,1,3,14:00,UTC,8,1023.9,0,15,-4.5,4.6
2021,1,3,15:00,UTC,8,1024.4,0,15,-4.5,4.4
2021,1,3,16:00,UTC,8,1024.8,0,16,-4.5,4.8
2021,1,3,17:00,UTC,8,1025.3,0,15,-4.6,4.3
2021,1,3,18:00,UTC,8,1025.8,0,15,-4.7,3.3
2021,1,3,19:00,UTC,7,1026.3,0,15,-4.9,3.6
2021,1,3,20:00,UTC,7,1027.1,0,15,-5.3,3.9
2021,1,3,21:00,UTC,8,1027.8,0,15,-5.4,4
2021,1,3,22:00,UTC,8,1028.2,0,15,-5.5,3.3
2021,1,3,23:00,UTC,7,1028.4,0,15,-5.7,3.8
2021,1,4,00:00,UTC,7,1028.9,0,15,-5.6,3.5
2021,1,4,01:00,UTC,7,1029.1,0,15,-5.5,2.9
2021,1,4,02:00,UTC,8,1029.1,0,15,-5.4,3.2
2021,1,4,03:00,UTC,8,1029.4,0,15,-5.2,2.9
2021,1,4,04:00,UTC,8,1029.8,0,15,-5.1,3
2021,1,4,05:00,UTC,8,1030.1,0,15,-5,3.4
2021,1,4,06:00,UTC,8,1030.6,0,15,-5.1,3.7
2021,1,4,07:00,UTC,8,1030.8,0,15,-5.2,2.9
2021,1,4,08:00,UTC,7,1031.2,0,15,-5.9,3.9
2021,1,4,09:00,UTC,8,1032.3,0,15,-7.3,3.9
2021,1,4,10:00,UTC,8,1032.6,0,15,-7.9,3.5
2021,1,4,11:00,UTC,8,1032.8,0,15,-8.1,3.8
2021,1,4,12:00,UTC,8,1032.7,0,15,-7.9,3.1
2021,1,4,13:00,UTC,8,1032.8,0,15,-7.5,2.3
2021,1,4,14:00,UTC,8,1032.8,0,15,-7.3,2.5
2021,1,4,15:00,UTC,8,1033,0,15,-7.4,2.2
2021,1,4,16:00,UTC,8,1033.1,0,15,-7.6,2.4
2021,1,4,17:00,UTC,8,1033.2,0,15,-8.4,2.4
2021,1,4,18:00,UTC,8,1033.4,0,15,-8.9,2.3
2021,1,4,19:00,UTC,8,1033.6,0,15,-8.9,1.1
2021,1,4,20:00,UTC,8,1033.7,0,15,-8.8,0.6
2021,1,4,21:00,UTC,8,1033.5,0,15,-8.6,1
2021,1,4,22:00,UTC,8,1033.7,0,15,-8.5,1.4
2021,1,4,23:00,UTC,8,1033.7,0,15,-8.7,2.4
2021,1,5,00:00,UTC,8,1033.6,0,15,-9.2,2.3
2021,1,5,01:00,UTC,8,1033.6,0,15,-9.2,2.5
2021,1,5,02:00,UTC,8,1033.8,0,15,-9.3,1.5
2021,1,5,03:00,UTC,7,1033.6,0,15,-9.5,1.6
2021,1,5,04:00,UTC,7,1033.6,0,15,-9.7,2.3
2021,1,5,05:00,UTC,8,1033.5,0,14,-9.9,2
2021,1,5,06:00,UTC,8,1033.7,0,14,-10,1.3
2021,1,5,07:00,UTC,8,1033.9,0,14,-10.1,2.3
2021,1,5,08:00,UTC,8,1034,0,14,-10.1,1.4
2021,1,5,09:00,UTC,8,1034,0,14,-10,2
2021,1,5,10:00,UTC,8,1033.8,0,14,-10.3,2.2
2021,1,5,11:00,UTC,7,1033.8,0,14,-11,2.7
2021,1,5,12:00,UTC,8,1033.6,0,14,-10.8,2.2
2021,1,5,13:00,UTC,7,1033.7,0,14,-11.9,1.2
2021,1,5,14:00,UTC,8,1033.4,0,14,-11.3,0.7
2021,1,5,15:00,UTC,8,1033.4,0,14,-11.6,1.4
2021,1,5,16:00,UTC,8,1033.1,0,14,-11.6,1.9
2021,1,5,17:00,UTC,8,1032.8,0,14,-11.6,2.1
2021,1,5,18:00,UTC,8,1032.8,0,15,-11.4,2
2021,1,5,19:00,UTC,8,1032.8,0,15,-11.4,2.1
2021,1,5,20:00,UTC,8,1032.6,0,14,-11.6,2.2
2021,1,5,21:00,UTC,8,1032.4,0,15,-11.2,2.9
2021,1,5,22:00,UTC,8,1032.4,0,15,-11,0
2021,1,5,23:00,UTC,8,1032.4,0,15,-10.8,1.4
2021,1,6,00:00,UTC,7,1032.2,0,14,-10.9,1.7
2021,1,6,01:00,UTC,8,1031.7,0,15,-10.6,1.4
2021,1,6,02:00,UTC,8,1031.3,0,15,-10.4,1.1
2021,1,6,03:00,UTC,8,1031.1,0,15,-10.3,1.4
2021,1,6,04:00,UTC,7,1030.7,0,14,-10.5,1.1
2021,1,6,05:00,UTC,8,1030.6,0,15,-10.2,0.9
2021,1,6,06:00,UTC,8,1030.4,0,15,-10.1,1.3
2021,1,6,07:00,UTC,0,1030.6,0,14,-11.3,1.6
2021,1,6,08:00,UTC,0,1030.8,0,14,-11.8,1.9
2021,1,6,09:00,UTC,8,1030.7,0,14,-10.9,2.2
2021,1,6,10:00,UTC,8,1030.4,0,14,-10.3,2.2
2021,1,6,11:00,UTC,8,1029.8,0,14,-9.5,2.9
2021,1,6,12:00,UTC,7,1029.4,0,14,-8.9,1.6
2021,1,6,13:00,UTC,8,1029.1,0,14,-8.9,2.3
2021,1,6,14:00,UTC,7,1028.7,0,14,-8.5,2.2
2021,1,6,15:00,UTC,8,1028.4,0,14,-8.2,1.5
2021,1,6,16:00,UTC,8,1028,0,14,-7.7,1.8
2021,1,6,17:00,UTC,8,1027.9,0,14,-7.6,1.7
2021,1,6,18:00,UTC,8,1027.7,0,14,-7.4,2
2021,1,6,19:00,UTC,8,1027.6,0,14,-7.4,1.6
2021,1,6,20:00,UTC,8,1027.4,0,14,-6.9,2.3
2021,1,6,21:00,UTC,8,1027.1,0,14,-6.6,2
2021,1,6,22:00,UTC,8,1026.6,0,14,-6.5,1.1
2021,1,6,23:00,UTC,7,1026.3,0,14,-6.2,1.3
2021,1,7,00:00,UTC,8,1025.8,0,14,-5.9,1.5
2021,1,7,01:00,UTC,8,1025.4,0,14,-5.7,1.5
2021,1,7,02:00,UTC,8,1025,0,14,-5.5,2.1
2021,1,7,03:00,UTC,8,1024.5,0,14,-5.4,3
2021,1,7,04:00,UTC,8,1024,0,14,-5.4,4.3
2021,1,7,05:00,UTC,8,1023.7,0,14,-5.5,3.6
2021,1,7,06:00,UTC,8,1023.6,0,14,-5.7,3.6
2021,1,7,07:00,UTC,8,1023.6,0,14,-5.9,3.3
2021,1,7,08:00,UTC,8,1023.6,0,14,-6.2,3
2021,1,7,09:00,UTC,8,1023.7,0,14,-6.5,2
2021,1,7,10:00,UTC,8,1023.2,0,14,-6.7,2
2021,1,7,11:00,UTC,8,1022.8,0,14,-6.7,2
2021,1,7,12:00,UTC,8,1022.4,0,14,-6.6,3.5
2021,1,7,13:00,UTC,8,1022,0,14,-6.6,2.4
2021,1,7,14:00,UTC,8,1021.8,0,14,-6.6,2.9
2021,1,7,15:00,UTC,8,1021.6,0,14,-6.8,3
2021,1,7,16:00,UTC,8,1021.7,0,14,-6.8,3.2
2021,1,7,17:00,UTC,8,1021.7,0,14,-6.9,3
2021,1,7,18:00,UTC,7,1021.5,0,14,-6.9,3
2021,1,7,19:00,UTC,7,1021.6,0,14,-6.9,3.3
2021,1,7,20:00,UTC,7,1021.6,0,14,-6.9,2.5
2021,1,7,21:00,UTC,7,1021.6,0,14,-7.2,3.2
2021,1,7,22:00,UTC,7,1021.4,0,14,-7.4,2.8
2021,1,7,23:00,UTC,7,1021.2,0,14,-7.5,2.6
2021,1,8,00:00,UTC,7,1021.1,0,14,-7.6,2.2
2021,1,8,01:00,UTC,7,1021.2,0,14,-7.7,2
2021,1,8,02:00,UTC,7,1021.2,0,14,-7.7,1.7
2021,1,8,03:00,UTC,7,1021.2,0,15,-7.8,1.9
2021,1,8,04:00,UTC,7,1021.2,0,15,-7.8,1.5
2021,1,8,05:00,UTC,7,1021.2,0,14,-7.8,1.9
2021,1,8,06:00,UTC,7,1021.3,0,14,-7.8,1.4
2021,1,8,07:00,UTC,7,1021.5,0,14,-7.9,1.3
2021,1,8,08:00,UTC,7,1021.8,0,14,-7.8,1
2021,1,8,09:00,UTC,7,1022,0,14,-7.7,1.1
2021,1,8,10:00,UTC,7,1022.1,0,15,-7.7,1.1
2021,1,8,11:00,UTC,7,1022,0,14,-7.5,1.3
2021,1,8,12:00,UTC,7,1022,0,14,-7.3,1.1
2021,1,8,13:00,UTC,7,1022,0,14,-7.5,1.2
2021,1,8,14:00,UTC,7,1021.9,0,14,-7.7,1.7
2021,1,8,15:00,UTC,7,1022.2,0,14,-8.2,1
2021,1,8,16:00,UTC,7,1022.4,0,14,-7.9,1.3
2021,1,8,17:00,UTC,7,1022.7,0,14,-8.1,0.9
2021,1,8,18:00,UTC,7,1022.7,0,14,-8.2,1.7
