Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Tuulen nopeus (m/s)
2021,1,1,00:00,UTC,7,1010.3,0.4,21,-1.4,1.7
2021,1,1,01:00,UTC,8,1010.1,1.1,21,-1.9,2.5
2021,1,1,02:00,UTC,8,1009.8,1,22,-1.9,1.5
2021,1,1,03:00,UTC,8,1009.7,0,24,-2.1,2.2
2021,1,1,04:00,UTC,8,1009.5,0,24,-2.3,1.1
2021,1,1,05:00,UTC,8,1009.2,0,24,-2.1,1.8
2021,1,1,06:00,UTC,8,1009.1,0.6,25,-2.2,1.8
2021,1,1,07:00,UTC,8,1009.2,0.5,25,-2.6,2
2021,1,1,08:00,UTC,8,1009.3,0.3,26,-2.8,2
2021,1,1,09:00,UTC,8,1009.6,0.9,26,-3.1,1
2021,1,1,10:00,UTC,8,1009.6,0.8,27,-3.5,2
2021,1,1,11:00,UTC,8,1009.8,0.3,27,-3.6,1.7
2021,1,1,12:00,UTC,8,1010.1,0.3,27,-3.9,0.8
2021,1,1,13:00,UTC,8,1010.2,0.3,28,-4,1
2021,1,1,14:00,UTC,7,1010.5,0.3,29,-4.2,0.9
2021,1,1,15:00,UTC,8,1010.8,0.2,29,-4.4,0.9
2021,1,1,16:00,UTC,8,1011,0.2,29,-4.4,0.8
2021,1,1,17:00,UTC,8,1011.3,0.1,29,-4.2,0.8
2021,1,1,18:00,UTC,8,1011.8,0.1,26,-4.3,0.8
2021,1,1,19:00,UTC,8,1012.3,0.1,27,-4.4,1.1
2021,1,1,20:00,UTC,8,1012.8,0.1,26,-4.8,1.1
2021,1,1,21:00,UTC,7,1013.1,0.1,25,-5.4,0.9
2021,1,1,22:00,UTC,7,1013.6,0,27,-5.6,0
2021,1,1,23:00,UTC,8,1013.8,0,27,-4.8,0.6
2021,1,2,00:00,UTC,8,1014.3,0,28,-4.8,0
2021,1,2,01:00,UTC,8,1014.5,0,28,-5,1.2
2021,1,2,02:00,UTC,8,1014.8,0,28,-5,0.8
2021,1,2,03:00,UTC,8,1015.3,0,28,-5.1,0.5
2021,1,2,04:00,UTC,8,1015.5,0,28,-5,0.9
2021,1,2,05:00,UTC,8,1015.7,0,28,-5,0.7
2021,1,2,06:00,UTC,8,1016.1,0,28,-5.1,1
2021,1,2,07:00,UTC,8,1016.8,0,28,-5,1.1
2021,1,2,08:00,UTC,8,1017.2,0,28,-5.1,0.6
2021,1,2,09:00,UTC,8,1017.5,0,28,-5,0.6
2021,1,2,10:00,UTC,8,1017.9,0,28,-5,0.9
2021,1,2,11:00,UTC,8,1018,0,27,-4.5,1.1
2021,1,2,12:00,UTC,8,1018.4,0,27,-4.5,1
2021,1,2,13:00,UTC,8,1018.5,0,27,-4.2,1.7
2021,1,2,14:00,UTC,8,1018.8,0,27,-5.1,1.5
2021,1,2,15:00,UTC,7,1019.1,0,27,-4.8,1.9
2021,1,2,16:00,UTC,8,1019.5,0,27,-4.8,2.1
2021,1,2,17:00,UTC,8,1019.8,0,27,-5.1,1.7
2021,1,2,18:00,UTC,8,1020,0,27,-5.2,2.1
2021,1,2,19:00,UTC,8,1020.1,0,27,-5.3,2.4
2021,1,2,20:00,UTC,8,1020.6,0,27,-5.6,2.7
2021,1,2,21:00,UTC,6,1020.7,0,26,-6.1,2.3
2021,1,2,22:00,UTC,7,1021,0,26,-6.6,2.9
2021,1,2,23:00,UTC,8,1021.4,0,26,-7.2,2.6
2021,1,3,00:00,UTC,8,1021.6,0,26,-7.6,3
2021,1,3,01:00,UTC,8,1021.8,0,26,-7.7,3.3
2021,1,3,02:00,UTC,8,1022.3,0,26,-7.6,2.7
2021,1,3,03:00,UTC,8,1022.6,0,26,-7.7,2.5
2021,1,3,04:00,UTC,8,1022.8,0,25,-7.9,2.2
2021,1,3,05:00,UTC,8,1022.8,0,25,-8.5,2
2021,1,3,06:00,UTC,8,1023.4,0,25,-8.2,1.6
2021,1,3,07:00,UTC,8,1023.8,0,25,-8.1,1.6
2021,1,3,08:00,UTC,8,1024.3,0,25,-7.8,1.6
2021,1,3,09:00,UTC,7,1024.8,0,25,-8.1,2.1
2021,1,3,10:00,UTC,7,1025.5,0,25,-8.8,2.3
2021,1,3,11:00,UTC,7,1025.8,0,25,-9.3,2.7
